UPC,BRAND,BRAND VARIANT,PROMOTION,PRODUCT COUNT,PACK COUNT,SHAPE,SIZE,PRICE,COMMENT,VIEW
5_999999997564,5_STARBUCKS,COSTA RICA LATIN AMERICAN BLEND GROUND COFFEE,,1 COUNT,1 PACK,POUCH,9 OZ,,,PARTIAL VIEW
5_999999997565,5_SF BAY COFFEE,GROUND COFFEE,,1 COUNT,1 PACK,POUCH,,,,PARTIAL VIEW
999999997566,SF BAY COFFEE,K CUPS,,1 COUNT,1 PACK,BOX,,,,
1_999999997566,1_SF BAY COFFEE,K CUPS,,1 COUNT,1 PACK,BOX,,,,SIDE VIEW
5_999999997566,5_SF BAY COFFEE,K CUPS,,1 COUNT,1 PACK,BOX,,,,PARTIAL VIEW
6_999999823929,6_FROZEN,K CUPS,,,,BOX,,,,ANGLED VIEW
999999997567,FOLGERS NOIR,GROUND COFFEE,,1 COUNT,1 PACK,CANISTER,,,,
999999997568,FOLGERS NOIR,K CUPS,,1 COUNT,1 PACK,BOX,,,,
5_999999997567,5_FOLGERS NOIR,GROUND COFFEE,,1 COUNT,1 PACK,CANISTER,,,,PARTIAL VIEW
5_999999997568,5_FOLGERS NOIR,K CUPS,,1 COUNT,1 PACK,BOX,,,,PARTIAL VIEW
999999997569,VICTOR ALLENS,GROUND COFFEE,,1 COUNT,1 PACK,CANISTER,,,,
5_999999997569,5_VICTOR ALLENS,GROUND COFFEE,,1 COUNT,1 PACK,CANISTER,,,,PARTIAL VIEW
999999997570,STARBUCKS,KENYA AFRICAN BLEND GROUND COFFEE,,1 COUNT,1 PACK,POUCH,9 OZ,6.92,,
5_999999997570,5_STARBUCKS,KENYA AFRICAN BLEND GROUND COFFEE,,1 COUNT,1 PACK,POUCH,9 OZ,6.92,,PARTIAL VIEW
6_999999982294,6_GREAT VALUE,GROUND COFFEE,,,,CANISTER,,,,ANGLED VIEW
1_999999997567,1_FOLGERS NOIR,GROUND COFFEE,,1 COUNT,1 PACK,CANISTER,,,,SIDE VIEW
6_999999982344,6_GREAT VALUE,GROUND COFFEE,,,,BOX,,,,ANGLED VIEW
1_999999997569,1_VICTOR ALLENS,GROUND COFFEE,,1 COUNT,1 PACK,CANISTER,,,,SIDE VIEW
999999997571,JACK DANIELS,GROUND COFFEE,,1 COUNT,1 PACK,CANISTER,,,,
1_999999997571,1_JACK DANIELS,GROUND COFFEE,,1 COUNT,1 PACK,CANISTER,,,,SIDE VIEW
5_999999997571,5_JACK DANIELS,GROUND COFFEE,,1 COUNT,1 PACK,CANISTER,,,,PARTIAL VIEW
999999997572,HERSHEYS,HOT COCOA MIX,,1 COUNT,1 PACK,BOX,,,,
999999997573,YORK,HOT COCOA MIX,,1 COUNT,1 PACK,BOX,,,,
5_999999997572,5_HERSHEYS,HOT COCOA MIX,,1 COUNT,1 PACK,BOX,,,,PARTIAL VIEW
5_999999997573,5_YORK,HOT COCOA MIX,,1 COUNT,1 PACK,BOX,,,,PARTIAL VIEW
6_999999997566,6_SF BAY COFFEE,K CUPS,,1 COUNT,1 PACK,BOX,,,,ANGLED VIEW
3_999999982324,3_GEVALIA,K CUPS,,,,BOX,,,,TOP VIEW
4_999999982294,4_GREAT VALUE,GROUND COFFEE,,,,CANISTER,,,,REAR VIEW
999999997574,DON FRANCISCO,K CUPS,,1 COUNT,1 PACK,BOX,,,,
5_999999997574,5_DON FRANCISCO,K CUPS,,1 COUNT,1 PACK,BOX,,,,PARTIAL VIEW
6_999999997574,6_DON FRANCISCO,K CUPS,,1 COUNT,1 PACK,BOX,,,,ANGLED VIEW
6_999999997572,6_HERSHEYS,HOT COCOA MIX,,1 COUNT,1 PACK,BOX,,,,ANGLED VIEW
999999997575,PILON,GROUND COFFEE,,1 COUNT,1 PACK,CANISTER,,,,
1_999999997575,1_PILON,GROUND COFFEE,,1 COUNT,1 PACK,CANISTER,,,,SIDE VIEW
5_999999997575,5_PILON,GROUND COFFEE,,1 COUNT,1 PACK,CANISTER,,,,PARTIAL VIEW
4_999999982312,4_ANTHEM,BRAND,,,,JAR,,,,REAR VIEW
